id,product_id,quantity,movement_type,movement_date
1,1,449,purchase,"2024-06-11 09:03:03"
2,1,5,sale,"2025-02-13 13:16:35"
3,1,4,sale,"2024-06-13 16:27:42"
4,1,3,sale,"2024-05-14 20:18:37"
5,1,5,sale,"2025-01-31 18:21:59"
6,1,3,sale,"2025-03-24 07:37:15"
7,1,3,sale,"2024-10-05 14:27:21"
8,1,4,sale,"2024-05-18 17:06:43"
9,1,2,sale,"2024-06-20 08:08:23"
10,1,3,sale,"2025-02-09 22:05:48"
11,1,1,sale,"2025-02-15 22:41:14"
12,1,1,sale,"2024-12-23 07:20:03"
13,1,3,sale,"2024-08-14 20:09:08"
14,1,1,sale,"2024-09-15 00:36:25"
15,1,4,sale,"2025-02-06 20:00:25"
16,1,1,sale,"2025-01-29 21:14:38"
17,1,2,sale,"2025-04-08 11:44:22"
18,1,5,sale,"2024-06-03 01:02:15"
19,1,5,sale,"2025-04-01 06:27:47"
20,1,1,sale,"2024-07-10 19:08:07"
21,1,2,sale,"2024-10-24 18:50:39"
22,1,5,sale,"2025-04-06 18:18:57"
23,1,4,sale,"2024-09-13 19:17:30"
24,1,5,sale,"2024-11-26 09:52:31"
25,1,3,sale,"2025-04-27 08:40:05"
26,2,270,purchase,"2024-05-28 19:14:20"
27,2,5,sale,"2024-12-04 23:41:03"
28,2,4,sale,"2025-02-13 00:18:56"
29,2,3,sale,"2024-05-28 05:04:25"
30,2,1,sale,"2025-02-24 03:15:29"
31,2,1,sale,"2025-04-22 17:18:07"
32,2,3,sale,"2025-01-30 16:52:13"
33,2,2,sale,"2024-10-18 13:41:42"
34,2,3,sale,"2024-05-25 04:54:18"
35,2,2,sale,"2024-06-22 01:34:18"
36,2,5,sale,"2025-05-01 06:24:44"
37,2,3,sale,"2024-08-29 08:45:38"
38,2,1,sale,"2024-10-15 19:07:30"
39,2,5,sale,"2024-10-30 01:55:14"
40,2,5,sale,"2025-03-18 03:24:16"
41,2,5,sale,"2024-07-29 14:13:14"
42,2,2,sale,"2024-06-30 03:19:17"
43,2,3,sale,"2024-09-07 23:58:06"
44,2,5,sale,"2024-11-11 12:52:05"
